"site number","site location","Cluster","site acronym","date","sample type","nutrient comments","total_nitrogen","total_dissolved_nitrogen","total_phosphorus","total_dissolved_phosphorus","nitrate_nitrogen","ammonium_nitrogen","dissolved_organic_nitrogen"
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2000-04-13",NA,NA,0.298,0.238,2,0,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2000-04-13",NA,NA,0.308,0.266,0.6,0,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2000-04-13",NA,NA,0.368,0.32,2.8,0,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2000-04-13",NA,NA,0.33,0.188,54.2,7.4,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2000-04-13",NA,NA,0.192,0.158,7.4,0,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2000-04-13",NA,NA,0.206,0.142,8.6,0,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2000-04-13",NA,NA,0.23,0.188,18.2,5.8,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2000-04-14",NA,NA,0.234,0.232,8,3.6,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2000-04-14",NA,NA,0.406,0.382,0,0,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2000-04-14",NA,NA,0.262,0.224,11,1.4,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2000-04-14",NA,NA,0.302,0.288,10,0,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2000-04-14",NA,NA,0.264,0.226,13,2.4,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2000-04-14",NA,NA,0.26,0.22,5.6,0,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi","2000-04-14","field duplicate",NA,0.25,0.236,5,0,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2000-04-14",NA,NA,0.326,0.254,12.8,6.8,NA,NA,NA
"R9Bturbid","Saguaro Lake near inlet","salt","saguaro-hypo","2000-04-14","extra sample","sample taken at turbid layer - 40 m",1.789,NA,143.2,NA,NA,NA,NA
"field_blank","field blank",NA,"field blank","2000-04-15","field blank",NA,0.0236,0.0257,0,0,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"2000-04-15","lab blank",NA,0.0225,NA,1.15,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2000-04-15",NA,NA,0.486,0.33,45.4,1.2,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2000-04-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2000-04-15",NA,NA,0.75,0.56,38,2,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2000-04-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2000-04-15",NA,NA,0.37,0.334,6.2,0.2,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2000-04-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2000-04-15",NA,NA,0.418,0.38,1,0,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st","2000-04-15","field duplicate",NA,0.406,0.376,0.6,0,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2000-04-30",NA,NA,0.156,0.104,11.6,0,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2000-05-15",NA,NA,0.254,0.24,22.6,16.6,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2000-05-15",NA,NA,0.434,0.42,11.4,9.4,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2000-05-15",NA,NA,0.246,0.224,17.4,15.2,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2000-05-15",NA,NA,0.324,0.338,15.6,10.2,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2000-05-15",NA,NA,0.27,0.252,23.2,18.4,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2000-05-15",NA,NA,0.304,0.28,22,14.4,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi","2000-05-15","field duplicate",NA,0.306,0.304,21.4,15.6,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2000-05-15",NA,NA,0.34,0.264,46,25,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2000-05-16",NA,NA,0.496,0.446,11,9.6,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2000-05-16",NA,NA,0.304,0.404,9.6,8.8,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2000-05-16",NA,NA,0.396,0.422,11.2,7.8,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2000-05-16",NA,NA,0.406,0.466,11,8,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2000-05-16",NA,NA,0.694,0.528,113.8,30.4,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2000-05-16",NA,NA,0.216,0.188,16.4,14.4,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2000-05-16",NA,NA,0.234,0.182,29,12.2,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2000-05-16",NA,NA,0.268,0.234,26.6,19.4,NA,NA,NA
"field_blank","field blank",NA,"field blank","2000-05-17","field blank",NA,0.065,0.0525,4.8,4.35,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"2000-05-17","lab blank",NA,0.03,NA,3.65,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2000-05-17",NA,NA,0.406,0.378,19.2,13.8,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2000-05-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2000-05-17",NA,NA,0.706,0.632,38.2,14.8,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2000-05-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2000-05-17",NA,NA,0.384,0.306,21.8,11.6,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2000-05-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2000-05-17",NA,NA,0.438,0.404,10.4,8,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st","2000-05-17","field duplicate",NA,0.46,0.41,10.6,8.2,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2000-05-30",NA,NA,0.22,0.26,35,10,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2000-06-13",NA,NA,0.236,0.188,19.2,13.4,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2000-06-13",NA,NA,0.36,0.322,11,8.8,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2000-06-13",NA,NA,0.24,0.2,21.6,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2000-06-13",NA,NA,0.258,0.246,14.6,4.2,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2000-06-13",NA,NA,0.27,0.216,22.2,15.6,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2000-06-13",NA,NA,0.334,0.244,18.8,10.2,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi","2000-06-13","field duplicate",NA,0.29,0.27,18.6,14,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2000-06-13",NA,NA,0.33,0.266,29.4,16,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2000-06-14",NA,NA,0.472,0.434,9.6,7.8,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2000-06-14",NA,NA,0.258,0.278,9,7.2,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2000-06-14",NA,NA,0.26,0.228,8.2,6.4,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2000-06-14",NA,NA,0.338,0.332,8.8,7.2,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2000-06-14",NA,NA,0.312,0.15,85.2,18.6,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2000-06-14",NA,NA,0.236,0.16,17.6,10.6,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2000-06-14",NA,NA,0.428,0.168,266.8,13.4,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2000-06-14",NA,NA,0.196,0.162,28.2,18.8,NA,NA,NA
"field_blank","field blank",NA,"field blank","2000-06-15","field blank",NA,0.029,0.011,5.4,3.9,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"2000-06-15","lab blank",NA,0.019,NA,4.5,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2000-06-15",NA,NA,0.274,0.256,14.8,12.2,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2000-06-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2000-06-15",NA,NA,0.436,0.382,18.2,12.8,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2000-06-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2000-06-15",NA,NA,0.274,0.228,17,10,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2000-06-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2000-06-15",NA,NA,0.318,0.312,8.8,7.2,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st","2000-06-15","field duplicate",NA,0.376,0.358,10,7.4,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2000-06-30",NA,NA,0.206,0.128,50.2,10.2,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2000-07-18",NA,NA,0.372,0.262,10.2,7.2,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2000-07-18",NA,NA,0.346,0.216,7.6,6.4,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2000-07-18",NA,NA,0.354,0.258,15.2,6.6,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2000-07-18",NA,NA,0.36,0.322,10.6,8,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2000-07-18",NA,NA,0.358,0.158,52.2,18,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2000-07-18",NA,NA,0.244,0.196,12.6,10.2,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2000-07-18",NA,NA,0.218,0.146,25.8,25,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2000-07-18",NA,NA,0.296,0.164,27.2,24,NA,NA,NA
"field_blank","field blank",NA,"field blank","2000-07-19","field blank",NA,0.042,0.018,8,5.8,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"2000-07-19","lab blank",NA,0.0015,NA,5.7,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2000-07-19",NA,NA,0.244,0.322,15,9.4,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2000-07-19",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2000-07-19",NA,NA,0.232,0.296,12.8,11.2,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2000-07-19",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2000-07-19",NA,NA,0.252,0.238,15.6,14.8,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2000-07-19",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2000-07-19",NA,NA,0.41,0.316,10.2,9,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st","2000-07-19","field duplicate",NA,0.402,0.314,8.8,7.4,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2000-07-20",NA,NA,0.314,0.204,28.2,24.2,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2000-07-20",NA,NA,0.358,0.388,9.8,7.8,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2000-07-20",NA,NA,0.276,0.232,30.8,19.4,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2000-07-20",NA,NA,0.258,0.23,25.4,19.2,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2000-07-20",NA,NA,0.368,0.288,29.2,16.6,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2000-07-20",NA,NA,0.352,0.196,21.2,10,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi","2000-07-20","field duplicate",NA,0.284,0.22,18,9.8,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2000-07-20",NA,NA,0.702,0.322,139.8,55.6,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2000-07-27",NA,NA,0.24,0.188,46.4,4,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2000-08-15",NA,NA,0.32,0.296,4.6,2.2,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2000-08-15",NA,"analytical problem for diss P",0.35,0.258,4.8,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2000-08-15",NA,NA,0.334,0.258,7.4,4.8,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2000-08-15",NA,NA,0.282,0.252,4.6,4.6,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2000-08-15",NA,NA,0.308,0.178,35.6,11.6,NA,NA,NA
"R5dup","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2000-08-15","only field duplicate",NA,0.264,0.164,40.6,12.4,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2000-08-15",NA,NA,0.306,0.25,10.2,5.6,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2000-08-15",NA,NA,0.338,0.295,35.4,27.6,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2000-08-15",NA,NA,0.236,0.248,26.8,22.2,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2000-08-16",NA,NA,0.28,0.22,17,13.2,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2000-08-16",NA,NA,0.294,0.258,8.4,4.4,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2000-08-16",NA,NA,0.27,0.246,17.4,12,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2000-08-16",NA,NA,0.266,0.29,11.4,9.4,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2000-08-16",NA,NA,0.31,0.27,22,11.8,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2000-08-16",NA,NA,0.442,0.31,18.8,7.6,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi","2000-08-16","field duplicate",NA,0.334,0.248,10,5.8,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2000-08-16",NA,NA,0.22,0.238,15.8,14,NA,NA,NA
"field_blank","field blank",NA,"field blank","2000-08-17","field blank","high blanks for P",0.039,0.022,4.4,3,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"2000-08-17","lab blank","high blanks for P",0.015,NA,2,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2000-08-17",NA,NA,0.29,0.262,12,7.8,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2000-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2000-08-17",NA,NA,0.294,0.282,11.6,6,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2000-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2000-08-17",NA,NA,0.268,0.314,11.4,6.6,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2000-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2000-08-17",NA,NA,0.334,0.282,6.2,2.4,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st","2000-08-17","field duplicate",NA,0.286,0.242,7.2,1.8,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2000-08-30",NA,"subtracted lab blank for P",0.678,0.402,80.2,7.4,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2000-09-12",NA,"subtracted lab blank for P",0.298,0.268,4.4,18,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2000-09-12",NA,"subtracted lab blank for P",0.276,0.216,7.2,15.4,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2000-09-12",NA,"subtracted lab blank for P",0.268,0.244,11.2,15.2,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2000-09-12",NA,"subtracted lab blank for P",0.274,0.24,11,19.4,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2000-09-12",NA,"subtracted lab blank for P",0.476,0.226,43,29.2,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2000-09-12",NA,"subtracted lab blank for P",0.31,0.194,12,16.2,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2000-09-12",NA,"subtracted lab blank for P",0.236,0.18,18.6,19.4,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2000-09-12",NA,"subtracted lab blank for P",0.366,0.31,42,49.4,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2000-09-13",NA,"subtracted lab blank for P",0.36,0.246,20,30,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2000-09-13",NA,"subtracted lab blank for P",0.338,0.256,11.4,17.4,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2000-09-13",NA,"subtracted lab blank for P",0.232,0.188,19.8,21.2,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2000-09-13",NA,"subtracted lab blank for P",0.482,0.23,11.8,16.4,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2000-09-13",NA,"subtracted lab blank for P",0.39,0.278,28,28,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2000-09-13",NA,"subtracted lab blank for P",0.422,0.238,11.8,14.8,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi","2000-09-13","field duplicate","subtracted lab blank for P",0.322,0.234,7.2,18.6,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2000-09-13",NA,"subtracted lab blank for P",0.32,0.22,7.6,14,NA,NA,NA
"field_blank","field blank",NA,"field blank","2000-09-14","field blank","high blanks for P",0.074,0.086,19.2,16.4,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"2000-09-14","lab blank","high blanks for P",0.028,NA,13.8,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2000-09-14",NA,"subtracted lab blank for P",0.334,0.24,12,20.8,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2000-09-14",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2000-09-14",NA,"subtracted lab blank for P",0.596,0.478,7.6,15.6,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2000-09-14",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2000-09-14",NA,"subtracted lab blank for P",0.282,0.228,9.8,6.4,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2000-09-14",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal - Central Ave (N. of Northern)","srp","az canal @ central ave.","2000-09-14","extra sample","subtracted lab blank for P",0.296,0.252,18,4.2,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2000-09-14","extra sample","subtracted lab blank for P",0.31,0.24,19.4,5.6,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2000-09-14",NA,"subtracted lab blank for P",0.274,0.232,11.2,17.4,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st","2000-09-14","field duplicate","subtracted lab blank for P",0.294,0.252,11.4,16.8,NA,NA,NA
"R21br","AZ Canal - Central Ave (N. of Northern)","srp","az canal @ central ave.","2000-09-18","brush exp","subtracted lab blank for P",0.358,0.278,19.4,5.6,NA,NA,NA
"R26br","AZ Canal - 19th avenue","srp","az canal @ 19 ave.","2000-09-18","brush exp","subtracted lab blank for P",0.574,0.536,17.6,3.8,NA,NA,NA
"R27br","AZ Canal - 29th Avenue","srp","az canal @ 29 ave.","2000-09-18","brush exp","subtracted lab blank for P",0.586,0.556,18.6,4.8,NA,NA,NA
"R21br","AZ Canal - Central Ave (N. of Northern)","srp","az canal @ central ave.","2000-09-21","brush exp",NA,0.468,0.412,9,18,NA,NA,NA
"R26br","AZ Canal - 19th avenue","srp","az canal @ 19 ave.","2000-09-21","brush exp",NA,0.258,0.246,8.2,15.4,NA,NA,NA
"R27br","AZ Canal - 29th Avenue","srp","az canal @ 29 ave.","2000-09-21","brush exp",NA,0.276,0.248,8.4,7.8,NA,NA,NA
"R21br","AZ Canal - Central Ave (N. of Northern)","srp","az canal @ central ave.","2000-09-28","brush exp",NA,0.274,0.234,9.6,7,NA,NA,NA
"R26br","AZ Canal - 19th avenue","srp","az canal @ 19 ave.","2000-09-28","brush exp",NA,0.452,0.232,9.4,6.4,NA,NA,NA
"R27br","AZ Canal - 29th Avenue","srp","az canal @ 29 ave.","2000-09-28","brush exp",NA,0.32,0.3,7.2,7.6,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2000-09-30",NA,NA,0.142,0.076,20.4,18.8,NA,NA,NA
"R21br","AZ Canal - Central Ave (N. of Northern)","srp","az canal @ central ave.","2000-10-04","brush exp",NA,0.31,0.3,16.4,14.4,NA,NA,NA
"R26br","AZ Canal - 19th avenue","srp","az canal @ 19 ave.","2000-10-04","brush exp",NA,0.31,0.288,16.8,12.4,NA,NA,NA
"R27br","AZ Canal - 29th Avenue","srp","az canal @ 29 ave.","2000-10-04","brush exp",NA,0.416,0.378,12.1,9.4,NA,NA,NA
"R21br","AZ Canal - Central Ave (N. of Northern)","srp","az canal @ central ave.","2000-10-05","brush exp",NA,0.504,0.272,20,14.4,NA,NA,NA
"R26br","AZ Canal - 19th avenue","srp","az canal @ 19 ave.","2000-10-05","brush exp",NA,0.458,0.324,17.8,13,NA,NA,NA
"R27br","AZ Canal - 29th Avenue","srp","az canal @ 29 ave.","2000-10-05","brush exp",NA,0.292,0.286,15.8,12.8,NA,NA,NA
"R25rain","verde river at beeline highway","verde","verde @ beeline","2000-10-10","rain sample","rain one day",0.354,0.124,18.6,17.2,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2000-10-17",NA,NA,0.234,0.238,5.6,5.6,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2000-10-17",NA,NA,0.258,0.234,9.4,5.2,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2000-10-17",NA,NA,0.31,0.254,10.4,6.2,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2000-10-17",NA,NA,0.316,0.238,13.6,5.6,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2000-10-17",NA,NA,0.262,0.152,67.6,18.6,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2000-10-17",NA,NA,0.378,0.194,18.6,10.8,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2000-10-17",NA,NA,0.628,0.524,93.2,62.8,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2000-10-17",NA,NA,0.512,0.458,84.4,57.4,NA,NA,NA
